code,status,url
CTIC8AJ00Q,FAILED,https://sicilia.coni.it/images/sicilia/Aggregazione_Plessi_CT.pdf
ANPS010009,DOWNLOADED,http://www.marche.istruzione.it/allegati/2023/EsamiStato2023_MarcheCommissioni_1-6-2023.pdf
NUIS01600V,DOWNLOADED,https://www.istruzione.it/sardegna/concorsodocenti/wp-content/uploads/2022/03/10-piano_operativo_specifico-NUIS01600V-DA-VINCI-LANUSEI_prot_06110.21-03-2022.pdf
NARH105008,DOWNLOADED,https://www.istruzionemontessori.it/im/wp-content/uploads/2021/03/idonei-ipseoa.pdf
CHIS021001,DOWNLOADED,https://backend.orbit.dtu.dk/ws/portalfiles/portal/106717071/TransmissionNIR_Kamran_et_al_MAR_69_3.pdf
MITD330007,DOWNLOADED,https://www.istitutolevi.edu.it/files/file/PTOF/PTOF+IIS+Levi+aa.ss.+2022-2025+(1).pdf
MIIC8BF00G,DOWNLOADED,https://vecchiosito.icmontalcinigorgonzola.edu.it/wp-content/uploads/sites/661/SEGNATURA_1629793411_GRADUATORIA_DEFINITIVA_AT_MIIC8BF00G__24082021.pdf
MTIS01200R,DOWNLOADED,http://www.istruzionematera.it/wp-content/uploads/2012/03/Matera_anagrafe_SecIIgrado_20110823.pdf
CTPC605004,FAILED,https://arcadia.sba.uniroma3.it/bitstream/2307/5953/1/Botti+Aniello+tesi+dottorato+XXVII+ciclo+roma3.pdf
ELMAS,DOWNLOADED,https://www.agrarioelmas.edu.it/media/attachments/2025/01/20/cais01400p-202225-202425-20250118.pdf
PGIS00200P,NOT_FOUND,
SVIC81300R,DOWNLOADED,https://www.ic10vicenza.edu.it/wp-content/uploads/2023/11/ptof-2022-2025-ic10-aggiornato-ottobre-2023.pdf
AVPS12000T,FAILED,https://www.scientificoavellino.it/wp-content/uploads/2020/07/AVPS12000T_2D.pdf
NA1M008005,DOWNLOADED,https://cires1.colorado.edu/jimenez-group//UsrMtgs/clinic_2015/06-19-2015_PCJ_ePToF_AMSClinic.pdf
GEIS003009,DOWNLOADED,https://parsifal.pixel-online.org/files/misc/me2-multiplier-event-programme-parsifal-montale-online_82.pdf
