istituto;nome;citta
NARH105008;IPSEOA PARITARIO MONTESSORI;SOMMA VESUVIANA
MIPC10500T;LEONE XIII;MILANO
SOPS050001;P. NERVI - G. FERRARI;MORBEGNO
NUIS01600V;LEONARDO DA VINCI;LANUSEI
VVIC81500A;SORIANO CAL. CAPOLUOGO;SORIANO CALABRO
PAIC8BB00P;MANERI - INGRASSIA - DON MILANI;PALERMO
BOIC82700P;MINERBIO;MINERBIO
REIC841008;LEPIDO;REGGIO NELL'EMILIA
PSIS00700A;DELLA ROVERE;URBANIA
RM1M074003;S. GIOVANNI BATTISTA;ROMA
GEIC860009;STURLA;GENOVA
NAIC8BV009;CASANOVA - COSTANTINOPOLI;NAPOLI
TNIC85500V;ROVERETO SUD;ROVERETO
CAIC86800V;VIA STOCCOLMA;CAGLIARI
PEIC83200Q;PESCARA 6;PESCARA
PAIC888009;GIOVANNI XXIII;TRABIA
VEIC81400N;UGO FOSCOLO;VENEZIA
UD1M00600L;G. BEARZI;UDINE
NAIC8FM00X;91 - MINNITI;NAPOLI
CNIS02800V;VINCENZO VIRGINIO - GIANFRANCO DONADIO;CUNEO
NUIS006008;A. BUSINCO;JERZU
MITF19000B;I.T.S.O.S. ALBE STEINER;MILANO
TVIS01100A;A. SCARPA;MOTTA DI LIVENZA
KRIS00400C;GIUSEPPE GANGALE;CIRÃ MARINA
RARC07000X;I.P.S. "OLIVETTI - CALLEGARI";RAVENNA
CZIS01800B;A. GUARASCI - ANTONINO CALABRETTA;SOVERATO
CTPC605004;SAVOIA;CATANIA
SSIS00300L;I.I.S. "N. PELLEGRINI";SASSARI
CEPS02000T;ENRICO FERMI;AVERSA
NATFGA500B;SANTA MARIA DEL POZZO (ART. INFORMATICA);NAPOLI
RMPL355003;MONS. TOZZI;ROMA
PGIS02800V;PATRIZI - BALDELLI - CAVALLOTTI;CITTÃ DI CASTELLO
SRTL49500I;S. QUASIMODO;SIRACUSA
CHTL31500X;PITAGORA;FRANCAVILLA AL MARE
VRPLHM500A;DON BOSCO;VERONA
NARFRT500R;GIOVANNI VERGA (SERVIZI PER LA SANITÃ E L'ASSISTENZA SOCIALE);ACERRA
VAPS11000A;LICEO SCIENTIFICO "SERENI" LUINO;LUINO
SAIS04300D;G. FORTUNATO;ANGRI
VAIS003001;CITTÃ DI LUINO - CARLO VOLONTÃ;LUINO
SAIS05700B;IIS IPSAR PIRANESI;CAPACCIO PAESTUM
VIIS01600R;I.I.S. ALMERICO DA SCHIO;VICENZA
CHIS021001;NICOLA DA GUARDIAGRELE;GUARDIAGRELE
MTIS009001;ISABELLA MORRA;MATERA
PDIS02700T;LEONARDO DA VINCI;PADOVA
TNPM01000X;ANTONIO ROSMINI;TRENTO
VAPC020001;ERNESTO CAIROLI;VARESE
